Title,Director,Rating,Genre,Duration,Year
La vita è bella,RobertoBenigni,8.6,"Comedy,Drama,Romance",116min,1997
La La Land,DamienChazelle,8,"Comedy,Drama,Music",128min,2016
Taken,PierreMorel,7.8,"Action,Crime,Thriller",90min,2008
Back to the Future Part II,RobertZemeckis,7.8,"Adventure,Comedy,Science Fiction",108min,1989
Apocalypto,MelGibson,7.8,"Action,Adventure,Drama",139min,2006
The Girl with the Dragon Tattoo,DavidFincher,7.8,"Crime,Drama,Mystery",158min,2011
Toy Story 4,JoshCooley,7.7,"Animation,Adventure,Comedy",100min,2019
Mystic River,ClintEastwood,7.9,"Crime,Drama,Mystery",138min,2003
Finding Nemo,"AndrewStanton,",8.2,"Animation,Adventure,Comedy",100min,2003
Psycho,AlfredHitchcock,8.5,"Horror,Mystery,Thriller",109min,1960
Rush,RonHoward,8.1,"Action,Biography,Drama",123min,2013
The Pianist,RomanPolanski,8.5,"Biography,Drama,Music",150min,2002
Room,LennyAbrahamson,8.1,"Drama,Thriller",118min,2015
A Star Is Born,BradleyCooper,7.6,"Drama,Music,Romance",136min,2018
The Untouchables,BrianDePalma,7.9,"Crime,Drama,Thriller",119min,1987
Pride,MatthewWarchus,7.8,"Biography,Comedy,Drama",119min,2014
The Mitchells vs the Machines,"MichaelRianda,",7.6,"Animation,Adventure,Comedy",114min,2021
The Butterfly Effect,"EricBress,",7.6,"Drama,Science Fiction,Thriller",113min,2004
Midnight in Paris,WoodyAllen,7.7,"Comedy,Fantasy,Romance",94min,2011
Argo,BenAffleck,7.7,"Biography,Drama,Thriller",120min,2012
"Monsters, Inc.","PeteDocter,",8.1,"Animation,Adventure,Comedy",92min,2001
Sin City,"FrankMiller,",8,"Crime,Thriller",124min,2005
Shrek,"AndrewAdamson,",7.9,"Animation,Adventure,Comedy",90min,2001
Inside Out,"PeteDocter,",8.2,"Animation,Adventure,Comedy",95min,2015
V for Vendetta,JamesMcTeigue,8.2,"Action,Drama,Science Fiction",132min,2005
Little Miss Sunshine,"JonathanDayton,",7.8,"Comedy,Drama",101min,2006
Home Alone,ChrisColumbus,7.7,"Comedy,Family",103min,1990
12 Years a Slave,SteveMcQueen,8.1,"Biography,Drama,History",134min,2013
Kick-Ass,MatthewVaughn,7.6,"Action,Comedy,Crime",117min,2010
Pans Labyrinth,GuillermodelToro,8.2,"Drama,Fantasy,War",118min,2006
Blazing Saddles,MelBrooks,7.7,"Comedy,Western",93min,1974
Zodiac,DavidFincher,7.7,"Crime,Drama,Mystery",157min,2007
Hell or High Water,DavidMackenzie,7.6,"Action,Crime,Drama",102min,2016
Coco,"LeeUnkrich,",8.4,"Animation,Adventure,Comedy",105min,2017
Druk,ThomasVinterberg,7.7,"Comedy,Drama",117min,2020
Marriage Story,NoahBaumbach,7.9,"Drama,Romance",137min,2019
First Blood,TedKotcheff,7.7,"Action,Adventure,Thriller",93min,1982
Kimi no na wa.,MakotoShinkai,8.4,"Animation,Drama,Fantasy",106min,2016
Training Day,AntoineFuqua,7.7,"Action,Crime,Drama",122min,2001
Rocky,JohnG.Avildsen,8.1,"Drama,Sport",120min,1976
Big Fish,TimBurton,8,"Adventure,Drama,Fantasy",125min,2003
Hot Fuzz,EdgarWright,7.8,"Action,Comedy,Mystery",121min,2007
L.A. Confidential,CurtisHanson,8.2,"Crime,Drama,Mystery",138min,1997
Silver Linings Playbook,DavidO.Russell,7.7,"Comedy,Drama,Romance",122min,2012
Unforgiven,ClintEastwood,8.2,"Drama,Western",130min,1992
Twelve Monkeys,TerryGilliam,8,"Mystery,Science Fiction,Thriller",129min,1995
Toy Story 2,"JohnLasseter,",7.9,"Animation,Adventure,Comedy",92min,1999
(500) Days of Summer,MarcWebb,7.7,"Comedy,Drama,Romance",95min,2009
Dallas Buyers Club,Jean-MarcVallée,7.9,"Biography,Drama",117min,2013
Rio Bravo,HowardHawks,8,Western,141min,1959
Moonrise Kingdom,WesAnderson,7.8,"Comedy,Drama,Romance",94min,2012
Lethal Weapon,RichardDonner,7.6,"Action,Crime,Thriller",109min,1987
Up,"PeteDocter,",8.3,"Animation,Adventure,Comedy",96min,2009
The Others,AlejandroAmenábar,7.6,"Horror,Mystery,Thriller",101min,2001
"Three Billboards Outside Ebbing, Missouri",MartinMcDonagh,8.1,"Comedy,Crime,Drama",115min,2017
Soul,"PeteDocter,",8,"Animation,Adventure,Comedy",100min,2020
Shaun of the Dead,EdgarWright,7.9,"Comedy,Horror",99min,2004
Salinui chueok,BongJoonHo,8.1,"Crime,Drama,Mystery",131min,2003
Le fabuleux destin dAmélie Poulain,Jean-PierreJeunet,8.3,"Comedy,Romance",122min,2001
Amadeus,MilosForman,8.4,"Biography,Drama,Music",160min,1984
Dances with Wolves,KevinCostner,8,"Adventure,Drama,Western",181min,1990
Warrior,GavinConnor,8.2,"Action,Drama,Sport",140min,2011
Captain America: The Winter Soldier,"AnthonyRusso,",7.8,"Action,Adventure,Science Fiction",136min,2014
Casablanca,MichaelCurtiz,8.5,"Drama,Romance,War",102min,1942
Manhattan,WoodyAllen,7.9,"Comedy,Drama,Romance",96min,1979
3 Idiots,RajkumarHirani,8.4,"Comedy,Drama",170min,2009
How to Train Your Dragon,"DeanDeBlois,",8.1,"Animation,Action,Adventure",98min,2010
WALL·E,AndrewStanton,8.4,"Animation,Adventure,Family",98min,2008
Before Sunrise,RichardLinklater,8.1,"Drama,Romance",101min,1995
"Lock, Stock and Two Smoking Barrels",GuyRitchie,8.2,"Action,Comedy,Crime",107min,1998
Indiana Jones and the Last Crusade,StevenSpielberg,8.2,"Action,Adventure",127min,1989
The Fugitive,AndrewDavis,7.8,"Action,Crime,Drama",130min,1993
Who Framed Roger Rabbit,RobertZemeckis,7.7,"Animation,Adventure,Comedy",104min,1988
Gone with the Wind,"VictorFleming,",8.2,"Drama,Romance,War",238min,1939
Inside Man,SpikeLee,7.6,"Crime,Drama,Mystery",129min,2006
Saw,JamesWan,7.6,"Horror,Mystery,Thriller",103min,2004
Halloween,JohnCarpenter,7.7,"Horror,Thriller",91min,1978
Gattaca,AndrewNiccol,7.8,"Drama,Science Fiction,Thriller",106min,1997
The Deer Hunter,MichaelCimino,8.1,"Drama,War",183min,1978
Portrait de la jeune fille en feu,CélineSciamma,8.1,"Drama,Romance",122min,2019
Stardust,MatthewVaughn,7.6,"Adventure,Family,Fantasy",127min,2007
RoboCop,PaulVerhoeven,7.6,"Action,Crime,Science Fiction",102min,1987
Despicable Me,"PierreCoffin,",7.6,"Animation,Adventure,Comedy",95min,2010
Big Hero 6,"DonHall,",7.8,"Animation,Action,Adventure",102min,2014
Tangled,"NathanGreno,",7.7,"Animation,Adventure,Comedy",100min,2010
Kung Fu Panda,"MarkOsborne,",7.6,"Animation,Action,Adventure",92min,2008
Wo hu cang long,AngLee,7.9,"Action,Adventure,Drama",120min,2000
Changeling,ClintEastwood,7.8,"Biography,Crime,Drama",141min,2008
X: First Class,MatthewVaughn,7.7,"Action,Adventure,Science Fiction",131min,2011
The Graduate,MikeNichols,8,"Comedy,Drama,Romance",106min,1967
The Last of the Mohicans,MichaelMann,7.7,"Action,Adventure,Drama",112min,1992
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,StanleyKubrick,8.4,"Comedy,War",95min,1964
X-Men: Days of Future Past,BryanSinger,7.9,"Action,Adventure,Science Fiction",132min,2014
The Wild Bunch,SamPeckinpah,7.9,"Action,Adventure,Western",145min,1969
Slumdog Millionaire,"DannyBoyle,",8,"Drama,Romance",120min,2008
Toy Story 3,LeeUnkrich,8.3,"Animation,Adventure,Comedy",103min,2010
Children of Men,AlfonsoCuarón,7.9,"Action,Drama,Science Fiction",109min,2006
Apollo 13,RonHoward,7.7,"Adventure,Drama,History",140min,1995
The Lives of Others,FlorianHenckelvonDonnersmarck,8.4,"Drama,Mystery,Thriller",137min,2006
Man on Fire,TonyScott,7.7,"Action,Crime,Drama",146min,2004
The Boondock Saints,TroyDuffy,7.7,"Action,Thriller",108min,1999
Aladdin,"RonClements,",8,"Animation,Adventure,Comedy",90min,1992
Lawrence of Arabia,DavidLean,8.3,"Adventure,Biography,Drama",218min,1962
